rho,d6,d8,d9,d12,d6m,d12m,dm
0.6920000000000001,0.4653688486160859,0.22811371017742688,0.20297623364690986,0.13246973958623043,0.38450348889688224,0.15135589752492704,0.2679296932109046
0.6930000000000001,0.4660925136826947,0.22846560426061582,0.20329172208072402,0.13268679969093114,0.3849160688939504,0.151643166072569,0.2682796174832597
0.6940000000000001,0.466819285382603,0.22881906961818185,0.20360863676574975,0.13290490421496998,0.3853302651005558,0.15193179817174374,0.2686310316361499
0.6950000000000001,0.4675491868225259,0.22917411851723446,0.20392698897567132,0.13312406189304676,0.3857460895806778,0.1522218047946101,0.26898394718764396
0.6960000000000001,0.4682822413574517,0.22953076336335362,0.20424679011289484,0.13334428156451947,0.3861635545323725,0.15251319703971192,0.2693383757860422
0.6970000000000001,0.4690184725941509,0.22988901670264222,0.2045680517104762,0.13356557217503592,0.38658267228975346,0.15280598613388044,0.269694329211817
0.6980000000000001,0.4697579043947458,0.2302488912238164,0.2048907854340844,0.13378794277819658,0.3870034553250061,0.1531001834341725,0.2700518193795893
0.6990000000000001,0.4705005608803446,0.23061039976033412,0.20521500308400153,0.13401140253724986,0.38742591625044004,0.15339580042984455,0.27041085834014233
0.7000000000000001,0.4712464664347381,0.23097355529256353,0.2055407165971605,0.13423596072681976,0.38785006782058035,0.15369284874436412,0.2707714582824723
0.7010000000000001,0.4719956457081636,0.2313383709499916,0.20586793804922035,0.13446162673466716,0.3882759229342965,0.1539913401374587,0.27113363153587755
0.7020000000000001,0.47274812362113494,0.2317048600134734,0.206196679656681,0.13468841006348525,0.38870349463697146,0.15429128650720347,0.2714973905720874
0.7030000000000001,0.4735039253683407,0.23207303591752418,0.20652695377903793,0.1349163203327302,0.3891327961227111,0.15459269989214883,0.27186274800743
0.7040000000000001,0.4742630764226134,0.23244291225265404,0.20685877292097743,0.1351453672804874,0.38956384073659683,0.1548955924734879,0.27222971660504236
0.705,0.47502560253896925,0.23281450276774637,0.2071921497346139,0.13537556076537452,0.3899966419769775,0.15519997657726578,0.2725983092771216
0.706,0.47579152975872174,0.23318782137248234,0.20752709702176972,0.13560691076848236,0.39043121349780746,0.15550586467663086,0.27296853908721913
0.707,0.47656088441366795,0.23356288213980989,0.20786362773629855,0.13583942739535357,0.3908675691110283,0.15581326939412948,0.2733404192525789
0.708,0.47733369313035356,0.2339396993084608,0.20820175498645369,0.1360731208780011,0.391305722788995,0.15612220350404496,0.27371396314651997
0.709,0.4781099828344136,0.23431828728551568,0.20854149203730193,0.13630800157696688,0.39174568866695,0.15643267993478166,0.27408918430086576
0.71,0.4788897807549934,0.2346986606490181,0.20888285231318435,0.13654407998342147,0.3921874810455434,0.15674471177129556,0.2744660964084195
0.711,0.47967311442925226,0.23508083415063863,0.20922584940022415,0.13678136672130595,0.39263111439340315,0.15705831225757222,0.27484471332548777
0.712,0.48046001170694713,0.23546482271839128,0.2095704970488848,0.13701987254951728,0.3930766033497537,0.1573734947991531,0.27522504907445344
0.713,0.481250500755104,0.235850641459402,0.20991680917657685,0.1372596083641374,0.39352396272708595,0.15769027296571153,0.27560711784639874
0.714,0.4820446100627746,0.23623830566273074,0.2102647998703169,0.13750058520070782,0.3939732075138797,0.1580086604936797,0.27599093400377966
0.715,0.48284236844588274,0.23662783080224992,0.21061448338943858,0.13774281423655071,0.3944243528773788,0.15832867128892716,0.276376512083153
0.716,0.4836438050521596,0.23701923253957782,0.2109658741683573,0.1379863067931372,0.394877414166421,0.15865031942949312,0.27676386679795706
0.717,0.4844489493661746,0.23741252672707108,0.2113189868193902,0.13823107433850446,0.3953324069143238,0.15897361916837255,0.27715301304134815
0.718,0.48525783121445804,0.23780772941087502,0.21167383613563162,0.13847712848972255,0.3957893468418265,0.15929858493635865,0.2775439658890925
0.719,0.4860704807707227,0.23820485683403594,0.21203043709388703,0.13872448101541227,0.39624824986009244,0.159625231344942,0.2779367406025172
0.72,0.4868869285611845,0.238603925439674,0.2123888048576653,0.13897314383831536,0.39670913207376923,0.15995357318926826,0.2783313526315188
0.721,0.487707205469983,0.23900495187422038,0.21274895478023154,0.13922312903791814,0.39717200978411155,0.16028362545115576,0.27872781761763366
0.722,0.48853134274470755,0.2394079529907193,0.21311090240772193,0.13947444885313012,0.3976368994921658,0.16061540330217444,0.2791261513971701
0.723,0.4893593720020283,0.23981294585219576,0.2134746634823214,0.13972711568501894,0.3981038179020198,0.1609489221067875,0.27952637000440356
0.724,0.49019132523343634,0.24021994773509295,0.21384025394550654,0.13998114209960266,0.39857278192411727,0.16128419742555714,0.27992848967483724
0.725,0.491027234811095,0.2406289761327774,0.21420768994135495,0.14023654083070153,0.39904380867864153,0.16162124501841676,0.2803325268485291
0.726,0.4918671334938038,0.24104004875911714,0.2145769878199222,0.1404933247828499,0.3995169154989655,0.16196008084801,0.2807384981734877
0.727,0.49271105443307966,0.2414531835521326,0.21494816414068915,0.1407515070342706,0.3999921199351751,0.16230072108309918,0.2811464205091372
0.728,0.4935590311793575,0.2418683986777219,0.21532123567608022,0.14101110083991278,0.4004694397576634,0.1626431821020449,0.2815563109298542
0.729,0.4944110976883109,0.24228571253346357,0.21569621941505487,0.14127211963455505,0.40094889296079994,0.1629874804963576,0.2819681867285787
0.73,0.49526728832729905,0.24270514375249783,0.21607313256677438,0.1415345770359754,0.4014304977666749,0.16333363307432403,0.28238206542049943
0.731,0.49612763788194075,0.24312671120748824,0.21645199256434516,0.14179848684819013,0.4019142726289232,0.16368165686471003,0.2827979647468166
0.732,0.4969921815628185,0.24355043401466628,0.21683281706864124,0.14206386306476282,0.40240023623662613,0.1640315691205409,0.2832159026785836
0.733,0.4978609550123174,0.24397633153796033,0.21721562397220714,0.14233071987218576,0.40288840751829735,0.16438338732296268,0.28363589742062995
0.734,0.4987339943116,0.24440442339321164,0.2176004314032439,0.14259907165333527,0.4033788056459499,0.1647371291851849,0.2840579674155674
0.735,0.49961133598772184,0.24483472945247936,0.2179872577296797,0.142868932991003,0.4038714500392524,0.16509281265650827,0.28448213134788036
0.736,0.5004930170208902,0.2452672698484362,0.2183761215633279,0.1431403186715057,0.40436636036977125,0.16545045592643806,0.28490840814810464
0.737,0.5013790748518708,0.24570206497885863,0.2187670417641339,0.1434132436883741,0.40486355656530404,0.16581007742888668,0.28533681699709534
