p,r6l,r12l,r6m,r12m,r6h,r12h
0.512,0.18455892434044938,0.0959763629007826,0.4269128791902388,0.3013617053114477,1.4222383074986114,1.2830843843012
0.513,0.18456667449469288,0.09598011125894165,0.42703585983468323,0.3014435935260359,1.4224756575584614,1.2832621565157316
0.514,0.18457442544912137,0.09598386000023046,0.42715894123189746,0.30152555066808656,1.4227132980764439,1.2834401570868883
0.515,0.18458217720386683,0.09598760912471187,0.4272821235108635,0.30160757682694567,1.4229512296040168,1.2836183864604858
0.516,0.18458992975906136,0.0959913586324487,0.42740540680078937,0.3016896720921174,1.4231894526939886,1.2837968450834645
0.517,0.18459768311483704,0.09599510852350378,0.4275287912311096,0.3017718365532638,1.4234279679006399,1.283975533403998
0.518,0.184605437271326,0.09599885879794003,0.4276522769314853,0.301854070300205,1.4236667757796841,1.2841544518713737
0.519,0.18461319222866038,0.09600260945582027,0.4277758640318058,0.3019363734229201,1.423905876888251,1.2843336009360904
0.52,0.18462094798697237,0.09600636049720751,0.4278995526621879,0.30201874601154727,1.4241452717849261,1.284512981049837
0.521,0.18462870454639418,0.09601011192216455,0.42802334295297745,0.302101188156384,1.4243849610297263,1.2846925926654906
0.522,0.18463646190705804,0.09601386373075438,0.42814723503474894,0.3021836999478876,1.4246249451841249,1.2848724362371453
0.523,0.18464422006909623,0.09601761592303988,0.4282712290383067,0.3022662814766755,1.424865224811055,1.2850525122200303
0.524,0.18465197903264105,0.0960213684990841,0.4283953250946851,0.3023489328335257,1.4251058004749038,1.285232821070628
0.525,0.1846597387978248,0.09602512145894994,0.428519523335149,0.3024316541093768,1.4253466727415263,1.2854133632466127
0.526,0.18466749936477986,0.09602887480270039,0.4286438238911945,0.30251444539532885,1.4255878421782096,1.2855941392068793
0.527,0.18467526073363863,0.0960326285303985,0.4287682268945494,0.3025973067826436,1.4258293093537806,1.2857751494115197
0.528,0.18468302290453356,0.09603638264210723,0.42889273247717374,0.3026802383627446,1.4260710748385,1.2859563943218628
0.529,0.18469078587759707,0.09604013713788963,0.4290173407712598,0.30276324022721746,1.426313139204125,1.286137874400412
0.53,0.1846985496529616,0.09604389201780872,0.42914205190923377,0.30284631246781085,1.4265555030239006,1.2863195901109552
0.531,0.18470631423075973,0.09604764728192759,0.4292668660237548,0.3029294551764364,1.4267981668725283,1.2865015419184795
0.532,0.18471407961112396,0.09605140293030928,0.42939178324771704,0.3030126684451689,1.4270411313262872,1.2866837302892309
0.533,0.18472184579418693,0.09605515896301692,0.42951680371424883,0.3030959523662475,1.4272843969628757,1.286866155690661
0.534,0.18472961278008115,0.09605891538011356,0.42964192755671415,0.3031793070320748,1.4275279643615815,1.2870488185914903
0.535,0.18473738056893935,0.09606267218166234,0.42976715490871276,0.3032627325352182,1.4277718341031291,1.2872317194616558
0.536,0.18474514916089407,0.09606642936772639,0.4298924859040808,0.30334622896841024,1.428016006769777,1.2874148587723802
0.537,0.18475291855607812,0.0960701869383688,0.4300179206768911,0.3034297964245485,1.4282604829453427,1.2875982369961108
0.538,0.18476068875462415,0.09607394489365283,0.4301434593614548,0.30351343499669636,1.428505263215161,1.2877818546065987
0.539,0.18476845975666495,0.0960777032336415,0.43026910209231956,0.30359714477808275,1.428750348166089,1.2879657120788008
0.54,0.18477623156233328,0.09608146195839817,0.4303948490042726,0.30368092586210377,1.4289957383865115,1.2881498098889732
0.541,0.18478400417176202,0.09608522106798593,0.43052070023234007,0.3037647783423214,1.4292414344663398,1.2883341485146254
0.542,0.18479177758508392,0.096088980562468,0.4306466559117874,0.30384870231246547,1.4294874369970993,1.2885187284345925
0.543,0.18479955180243185,0.09609274044190767,0.43077271617812063,0.3039326978664334,1.4297337465718056,1.2887035501289363
